	board	digit	filled	type	x	y
0	2.2.0003000000100100	1	1	row	0	0
1	2.2.0000001000014000	1	1	column	0	0
2	2.2.0004000000100100	1	1	row	0	0
3	2.2.0000200000000100	1	1	column	0	0
4	2.2.0300001000000001	1	1	row	0	0
5	2.2.0000000120000100	1	1	column	0	0
6	2.2.0040000000010100	1	1	row	0	0
7	2.2.0000000101003000	1	1	column	0	0
8	2.2.0020000101000000	1	1	row	0	0
9	2.2.0000001000013000	1	1	column	0	0
10	2.2.0000300001000010	1	1	column	0	0
11	2.2.0200001000000000	1	1	row	0	0
12	2.2.0000000101004000	1	1	column	0	0
13	2.2.0020000000010100	1	1	row	0	0
14	2.2.0000001001004000	1	1	column	0	0
15	2.2.0300001000010000	1	1	row	0	0
16	2.2.0000300000010100	1	1	column	0	0
17	2.2.0002001001000000	1	1	row	0	0
18	2.2.0000000100104000	1	1	column	0	0
19	2.2.0030000100000100	1	1	row	0	0
20	2.2.0000000140000100	1	1	column	0	0
21	2.2.0000000130000010	1	1	column	0	0
22	2.2.0040000100000100	1	1	row	0	0
23	2.2.0000000100103000	1	1	column	0	0
24	2.2.0002000000100100	1	1	row	0	0
25	2.2.0300000100000010	1	1	row	0	0
26	2.2.0000400000100100	1	1	column	0	0
27	2.2.0000000120000010	1	1	column	0	0
28	2.2.0020000100000100	1	1	row	0	0
29	2.2.0200000100000000	1	1	row	0	0
30	2.2.0000001000012000	1	1	column	0	0
31	2.2.0002000001000010	1	1	row	0	0
32	2.2.0000300000100100	1	1	column	0	0
33	2.2.0000000101002000	1	1	column	0	0
34	2.2.0004001000000100	1	1	row	0	0
35	2.2.0000001040000001	1	1	column	0	0
36	2.2.0003001001000000	1	1	row	0	0
37	2.2.0300000100100000	1	1	row	0	0
38	2.2.0000400000000100	1	1	column	0	0
39	2.2.0300000100000000	1	1	row	0	0
40	2.2.0000200000100100	1	1	column	0	0
41	2.2.0030000001000001	1	1	row	0	0
42	2.2.0400000100000010	1	1	row	0	0
43	2.2.0400001000000000	1	1	row	0	0
44	2.2.0000001040000100	1	1	column	0	0
45	2.2.0400000100000000	1	1	row	0	0
46	2.2.0000300000000100	1	1	column	0	0
47	2.2.0000400001000010	1	1	column	0	0
48	2.2.0200000100100000	1	1	row	0	0
49	2.2.0000000130000100	1	1	column	0	0
50	2.2.0000200001000010	1	1	column	0	0
51	2.2.0000200000010100	1	1	column	0	0
52	2.2.0000001001003000	1	1	column	0	0
53	2.2.0000001020000001	1	1	column	0	0
54	2.2.0030000101000000	1	1	row	0	0
55	2.2.0000400000010100	1	1	column	0	0
56	2.2.0030000000010100	1	1	row	0	0
57	2.2.0020000001000001	1	1	row	0	0
58	2.2.0000000100102000	1	1	column	0	0
59	2.2.0000001030000001	1	1	column	0	0
60	2.2.0003000001000010	1	1	row	0	0
61	2.2.0002001000000100	1	1	row	0	0
62	2.2.0040000001000001	1	1	row	0	0
63	2.2.0000001001002000	1	1	column	0	0
64	2.2.0400001000010000	1	1	row	0	0
65	2.2.0000200001000001	1	1	column	0	0
66	2.2.0000001020000100	1	1	column	0	0
67	2.2.0003001000000100	1	1	row	0	0
68	2.2.0400000100100000	1	1	row	0	0
69	2.2.0300001000000000	1	1	row	0	0
70	2.2.0200000100000010	1	1	row	0	0
71	2.2.0000300001000000	1	1	column	0	0
72	2.2.0000200001000000	1	1	column	0	0
73	2.2.0004001001000000	1	1	row	0	0
74	2.2.0004000001000010	1	1	row	0	0
75	2.2.0000001030000100	1	1	column	0	0
76	2.2.0000400001000001	1	1	column	0	0
77	2.2.0040000101000000	1	1	row	0	0
78	2.2.0400001000000001	1	1	row	0	0
79	2.2.0000000140000010	1	1	column	0	0
80	2.2.0200001000000001	1	1	row	0	0
81	2.2.0200001000010000	1	1	row	0	0
82	2.2.0000300001000001	1	1	column	0	0
83	2.2.0003002000000200	1	1	row	0	0
84	2.2.0000000202001000	1	1	column	0	0
85	2.2.0100000200200000	1	1	row	0	0
86	2.2.0000000200201000	1	1	column	0	0
87	2.2.0100000200000000	1	1	row	0	0
88	2.2.0000000202004000	1	1	column	0	0
89	2.2.0400000200000020	1	1	row	0	0
90	2.2.0000300002000000	1	1	column	0	0
91	2.2.0001002000000200	1	1	row	0	0
92	2.2.0000000200203000	1	1	column	0	0
93	2.2.0000300002000020	1	1	column	0	0
94	2.2.0030000202000000	1	1	row	0	0
95	2.2.0040000200000200	1	1	row	0	0
96	2.2.0000000210000020	1	1	column	0	0
97	2.2.0003000002000020	1	1	row	0	0
98	2.2.0030000000020200	1	1	row	0	0
99	2.2.0000002002003000	1	1	column	0	0
100	2.2.0030000002000002	1	1	row	0	0
101	2.2.0000100000020200	1	1	column	0	0
102	2.2.0004000002000020	1	1	row	0	0
103	2.2.0000400000200200	1	1	column	0	0
104	2.2.0030000200000200	1	1	row	0	0
105	2.2.0000400002000020	1	1	column	0	0
106	2.2.0010000002000002	1	1	row	0	0
107	2.2.0000000200204000	1	1	column	0	0
108	2.2.0000100002000020	1	1	column	0	0
109	2.2.0000000210000200	1	1	column	0	0
110	2.2.0001000000200200	1	1	row	0	0
111	2.2.0000100000000200	1	1	column	0	0
112	2.2.0300002000020000	1	1	row	0	0
113	2.2.0004000000200200	1	1	row	0	0
114	2.2.0000000240000020	1	1	column	0	0
115	2.2.0000002002001000	1	1	column	0	0
116	2.2.0003000000200200	1	1	row	0	0
117	2.2.0000002030000200	1	1	column	0	0
118	2.2.0300002000000002	1	1	row	0	0
119	2.2.0000002040000200	1	1	column	0	0
120	2.2.0300000200000020	1	1	row	0	0
121	2.2.0000100000200200	1	1	column	0	0
122	2.2.0010000202000000	1	1	row	0	0
123	2.2.0000000202003000	1	1	column	0	0
124	2.2.0040000000020200	1	1	row	0	0
125	2.2.0400000200200000	1	1	row	0	0
126	2.2.0000002040000002	1	1	column	0	0
127	2.2.0010000000020200	1	1	row	0	0
128	2.2.0400002000020000	1	1	row	0	0
129	2.2.0000002000021000	1	1	column	0	0
130	2.2.0300000200200000	1	1	row	0	0
131	2.2.0400000200000000	1	1	row	0	0
132	2.2.0000002000024000	1	1	column	0	0
133	2.2.0100000200000020	1	1	row	0	0
134	2.2.0000400002000002	1	1	column	0	0
135	2.2.0400002000000002	1	1	row	0	0
136	2.2.0001000002000020	1	1	row	0	0
137	2.2.0000300000200200	1	1	column	0	0
138	2.2.0300000200000000	1	1	row	0	0
139	2.2.0004002000000200	1	1	row	0	0
140	2.2.0400002000000000	1	1	row	0	0
141	2.2.0000002000023000	1	1	column	0	0
142	2.2.0100002000000002	1	1	row	0	0
143	2.2.0004002002000000	1	1	row	0	0
144	2.2.0010000200000200	1	1	row	0	0
145	2.2.0000400002000000	1	1	column	0	0
146	2.2.0001002002000000	1	1	row	0	0
147	2.2.0300002000000000	1	1	row	0	0
148	2.2.0000100002000002	1	1	column	0	0
149	2.2.0040000002000002	1	1	row	0	0
150	2.2.0003002002000000	1	1	row	0	0
151	2.2.0000400000000200	1	1	column	0	0
152	2.2.0000000230000020	1	1	column	0	0
153	2.2.0000000230000200	1	1	column	0	0
154	2.2.0040000202000000	1	1	row	0	0
155	2.2.0000002002004000	1	1	column	0	0
156	2.2.0000300000000200	1	1	column	0	0
157	2.2.0000002010000002	1	1	column	0	0
158	2.2.0100002000020000	1	1	row	0	0
159	2.2.0000300000020200	1	1	column	0	0
160	2.2.0000300002000002	1	1	column	0	0
161	2.2.0100002000000000	1	1	row	0	0
162	2.2.0000002030000002	1	1	column	0	0
163	2.2.0000100002000000	1	1	column	0	0
164	2.2.0000000240000200	1	1	column	0	0
165	2.2.0000002010000200	1	1	column	0	0
166	2.2.0000400000020200	1	1	column	0	0
167	2.2.0010000000030300	1	1	row	0	0
168	2.2.0000003020000300	1	1	column	0	0
169	2.2.0040000300000300	1	1	row	0	0
170	2.2.0000003020000003	1	1	column	0	0
171	2.2.0100003000000000	1	1	row	0	0
172	2.2.0000400000030300	1	1	column	0	0
173	2.2.0002003000000300	1	1	row	0	0
174	2.2.0000000320000300	1	1	column	0	0
